tipo_de_acidente;grupo_tdacidente;sub_grupo_tdacidente
Colisão Traseira;Colisao;Colisão Traseira
Saida de Pista;Saída de Pista;Saída de Pista
Colisão Lateral;Colisao;Colisão Lateral
Capotamento;Capotamento;Capotamento
Engavetamento;Colisao;Engavetamento
"Choque - Defensa, barreira ou ""submarino""";Choque;Choque Objeto
Choque - Objeto Fixo;Choque;Choque Objeto
Queda de Moto;Queda;Queda de Moto
Colisão traseira;Colisao;Colisão Traseira
Tombamento;Tombamento;Tombamento
Colisão Transversal;Colisao;Colisão Transversal
Abalroamento longitudinal;Choque;Choque com Veiculos
Choque - Elemento de Drenagem;Choque;Choque Objeto
Choque em objeto fixo;Choque;Choque Objeto
Colisão Frontal;Colisao;Colisao Frontal
Atropelamento de Animal;Choque;Choque com Animal
Saída de Pista;Saída de Pista;Saída de Pista
Queda de moto;Queda;Queda de Moto
Choque em barreira New Jersey;Choque;Choque Objeto
Outros;Outros;Outros
Outros - Sequência;Outros;Outros
Choque - Defensa, barreira ou  submarino;Choque;Choque Objeto
Abalroamento Longitudinal;Choque;Choque com Veiculos
Choque em objeto na pista;Choque;Choque Objeto
Choque - Talude;Choque;Choque Objeto
Derrapagem;Derrapagem;Derrapagem
Choque - Objeto sobre a pista;Choque;Choque Objeto
Choque em Barreira New Jersey;Choque;Choque Objeto
Choque - Outros;Choque;Choque Objeto
Choque - Suporte de Sinalização;Choque;Choque Objeto
Choque com objeto fixo;Choque;Choque Objeto
Choque em defensa;Choque;Choque Objeto
Atropelamento - Morador;Atropelamento;Atropelamento
Colisão - Traseira;Colisao;Colisão Traseira
Queda de ribanceira;Queda;Queda de ribanceira
Colisão com veículos (traseira);Colisao;Colisão Traseira
Objeto lançado contra veículo;Colisao;Objeto Lançado Contra Veiculo
Atropelamento - Animal;Atropelamento;Atropelamento de Animal
Atropelamento de pedestre atravessando;Atropelamento;Atropelamento
Atropelamento de animal;Atropelamento;Atropelamento de Animal
Abalroamento - Longitudinal;Choque;Choque com Veiculos
Atropelamento - Ciclista;Atropelamento;Atropelamento
;Missing;Missing
Atropelamento - Pedestre;Atropelamento;Atropelamento
Choque em veículo parado na pista;Choque;Choque Objeto
Colisão c/ obstáculos;Colisao;Colisão com Objeto
Choque com Objeto Fixo;Choque;Choque Objeto
Atropelamento - Andarilho;Atropelamento;Atropelamento
Choque c/ Objeto Fixo;Choque;Choque Objeto
Colisão lateral no mesmo sentido;Colisao;Colisão Lateral
Choque - Poste;Choque;Choque Objeto
Saídas de pista;Saída de Pista;Saída de Pista
Choque - Cancela de Pedagio;Choque;Choque Objeto
Queda de Carga;Queda;Queda de Carga
Tombamento de Moto;Queda;Queda de Moto
Abalroamento transversal;Choque;Choque com Veiculos
Colisão - Lateral;Colisao;Colisão Lateral
Outros - sequências;Outros;Outros
Colisão frontal;Colisao;Colisao Frontal
Colisão lateral no sentido contrário;Colisao;Colisão Lateral
Atropelamento de Pedestre;Atropelamento;Atropelamento
Choque Talude;Choque;Choque Objeto
Choque em Defensa;Choque;Choque Objeto
Atropelamento de animais;Atropelamento;Atropelamento de Animal
Abalr.Transversal;Choque;Choque com Veiculos
Choque - Arvore;Choque;Choque Objeto
Tombamento de moto;Queda;Queda de Moto
Atropelamento - Usuário;Atropelamento;Atropelamento
Atropelamento;Atropelamento;Atropelamento
Choque - Veiculo parado na pista;Choque;Choque Veiculo parado
Atropelamento - Outros;Atropelamento;Atropelamento
Colisão lateral;Colisao;Colisão Lateral
Choque - Defensa, barreira ou meio fio;Choque;Choque Objeto
Atropelamento de Pedestre Atravessando;Atropelamento;Atropelamento
Saída de pista;Saída de Pista;Saída de Pista
Choque - Veiculo parado no acostamento;Choque;Choque Veiculo parado
Não Def;Missing;Missing
Atropelamento de pedestre caminhando;Atropelamento;Atropelamento
Abalr. Transversal;Choque;Choque com Veiculos
Queda de Ciclista;Queda;Queda de Ciclista
Choque Contra Objeto Fixo;Choque;Choque Objeto
Colisão com veículos (frontal);Colisao;Colisao Frontal
Veículo em Chamas;Outros;Veículo em Chamas
Colisão;Colisao;Colisão Outros
Acidentes de outra natureza;Outros;Outros
Colisão transversal;Colisao;Colisão Transversal
Abalroamento - Transversal;Choque;Choque com Veiculos
Atropelamento - Sem Informação;Atropelamento;Atropelamento
Atropelamento - Pedestre atravessando;Atropelamento;Atropelamento
Colisão com Objeto Fixo;Colisao;Colisão com Objeto
Choque Defensa;Choque;Choque Objeto
Choque;Choque;Choque Objeto
Sequência;Outros;Outros
Atropelamento de pedestre;Atropelamento;Atropelamento
Carreta deu L;Outros;Outros
Abalr.Mesmo Sentido;Choque;Choque com Veiculos
Queda de ciclista;Queda;Queda de Ciclista
Outros tipos de acidente;Outros;Outros
Colisão com ciclista;Colisao;Colisão com ciclista
Norte;Outros;Outros
Atropelamento e Fuga;Atropelamento;Atropelamento
Atropelamento Animal;Atropelamento;Atropelamento de Animal
Choque contra Objeto Fixo;Choque;Choque Objeto
Atropelamento de ciclista;Atropelamento;Atropelamento
Abalroamento Mesmo Sentido;Choque;Choque com Veiculos
Atropelamento de Pedestre Caminhando;Atropelamento;Atropelamento
Sul;Outros;Outros
Choque - Defensa;Choque;Choque Objeto
Abalroamento Transversal;Choque;Choque com Veiculos
Atropelamento - Pessoa;Atropelamento;Atropelamento
Choque Barreira;Choque;Choque Objeto
Atropelamento - Funcionário;Atropelamento;Atropelamento
Abalr.Sentido Oposto;Choque;Choque com Veiculos
Choque contra objeto na faixa de rolamento;Choque;Choque Objeto
Atropelamento - Ambulante;Atropelamento;Atropelamento
Choque - Sinalização;Choque;Choque Objeto
Choque com objeto;Choque;Choque Objeto
Choque - Meio fio;Choque;Choque Objeto
Colisão - Transversal;Colisao;Colisão Transversal
Atropelamento  de Pedestre;Atropelamento;Atropelamento
Atropelamento de Cachorro;Atropelamento;Atropelamento
Choque - Objeto não identificado;Choque;Choque Objeto
Colisão - Frontal;Colisao;Colisao Frontal
Atropel. de pedestre atravessando;Atropelamento;Atropelamento
Atropelamento - Pedestre caminhando;Atropelamento;Atropelamento
Choque - Defensa metálica;Choque;Choque Objeto
Abalr. Mesmo Sentido;Choque;Choque com Veiculos
Atropelamento de Ciclista;Atropelamento;Atropelamento
Abalroamento - Mesmo Sentido;Choque;Choque com Veiculos
Choque- Placa/Suporte Sinalização;Choque;Choque Objeto
Queda de carga;Queda;Queda de Carga
Queda Veículo;Queda;Queda de Veiculo
Atropelamento de Equino;Atropelamento;Atropelamento de Animal
Choque com Veículo Estacionado;Choque;Choque Objeto
Abalroamento Sentido Oposto;Choque;Choque com Veiculos
Choque - Meio Fio;Choque;Choque Objeto
Choque - New jersey;Choque;Choque Objeto
Queda;Queda;Quedas Outras
Choque - Obstáculo Fixo;Choque;Choque Objeto
Atropel. de pedestre caminhando;Atropelamento;Atropelamento
Atropelamento de Bovino;Atropelamento;Atropelamento de Animal
Choque - Barranco;Choque;Choque Objeto
Choque veículo parado na pista;Choque;Choque Objeto
Choque - Barreira;Choque;Choque Objeto
Atropelamento - Bovino;Atropelamento;Atropelamento de Animal
Abalr. Sentido Oposto;Choque;Choque com Veiculos
Soterramento;Outros;Soterramento
